NC_030599.1 Prunus pseudocerasus voucher PSEUDO20160226 chloroplast, complete genome
NC_031163.1 Malus prunifolia voucher MPRUN20160302 chloroplast, complete genome
NC_032038.1 Rosa roxburghii chloroplast, complete genome
NC_033975.1 Sorbus torminalis chloroplast, complete genome
NW_018027148.1 Prunus persica cultivar Lovell unplaced genomic scaffold, Prunus_persica_NCBIv2 scaffold_12, whole genome shotgun sequence
NW_018027147.1 Prunus persica cultivar Lovell chromosome G8 genomic scaffold, Prunus_persica_NCBIv2 Pp08, whole genome shotgun sequence
NW_018027146.1 Prunus persica cultivar Lovell chromosome G7 genomic scaffold, Prunus_persica_NCBIv2 Pp07, whole genome shotgun sequence
NW_018027145.1 Prunus persica cultivar Lovell chromosome G6 genomic scaffold, Prunus_persica_NCBIv2 Pp06, whole genome shotgun sequence
NW_018027144.1 Prunus persica cultivar Lovell chromosome G5 genomic scaffold, Prunus_persica_NCBIv2 Pp05, whole genome shotgun sequence
NW_018027143.1 Prunus persica cultivar Lovell chromosome G4 genomic scaffold, Prunus_persica_NCBIv2 Pp04, whole genome shotgun sequence
NW_018027142.1 Prunus persica cultivar Lovell chromosome G3 genomic scaffold, Prunus_persica_NCBIv2 Pp03, whole genome shotgun sequence
NW_018027141.1 Prunus persica cultivar Lovell chromosome G2 genomic scaffold, Prunus_persica_NCBIv2 Pp02, whole genome shotgun sequence
NW_018027140.1 Prunus persica cultivar Lovell chromosome G1 genomic scaffold, Prunus_persica_NCBIv2 Pp01, whole genome shotgun sequence
NC_034016.1 Prunus persica cultivar Lovell chromosome G8, Prunus_persica_NCBIv2, whole genome shotgun sequence
NC_034015.1 Prunus persica cultivar Lovell chromosome G7, Prunus_persica_NCBIv2, whole genome shotgun sequence
NC_034014.1 Prunus persica cultivar Lovell chromosome G6, Prunus_persica_NCBIv2, whole genome shotgun sequence
NC_034013.1 Prunus persica cultivar Lovell chromosome G5, Prunus_persica_NCBIv2, whole genome shotgun sequence
NC_034012.1 Prunus persica cultivar Lovell chromosome G4, Prunus_persica_NCBIv2, whole genome shotgun sequence
NC_034011.1 Prunus persica cultivar Lovell chromosome G3, Prunus_persica_NCBIv2, whole genome shotgun sequence
NC_034010.1 Prunus persica cultivar Lovell chromosome G2, Prunus_persica_NCBIv2, whole genome shotgun sequence
NC_034009.1 Prunus persica cultivar Lovell chromosome G1, Prunus_persica_NCBIv2, whole genome shotgun sequence
NC_034347.1 Fragaria pentaphylla chloroplast, complete genome
NC_034639.1 Eriobotrya japonica chloroplast, complete genome
NC_034696.1 Prunus dulcis plastid, complete genome
NC_034909.1 Pyrus pashia voucher PPASH20160703 chloroplast, complete genome
NW_018925915.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01004675.1, whole genome shotgun sequence
NW_018925649.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01004409.1, whole genome shotgun sequence
NW_018925014.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01003774.1, whole genome shotgun sequence
NW_018924853.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01003613.1, whole genome shotgun sequence
NW_018924460.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01003220.1, whole genome shotgun sequence
NW_018924454.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01003214.1, whole genome shotgun sequence
NW_018924243.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01003003.1, whole genome shotgun sequence
NW_018924236.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01002996.1, whole genome shotgun sequence
NW_018924196.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01002956.1, whole genome shotgun sequence
NW_018924175.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01002935.1, whole genome shotgun sequence
NW_018924170.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01002930.1, whole genome shotgun sequence
NW_018924152.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01002912.1, whole genome shotgun sequence
NW_018924141.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01002901.1, whole genome shotgun sequence
NW_018924095.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01002855.1, whole genome shotgun sequence
NW_018923997.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01002757.1, whole genome shotgun sequence
NW_018923887.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01002647.1, whole genome shotgun sequence
NW_018923879.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01002639.1, whole genome shotgun sequence
NW_018923838.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01002598.1, whole genome shotgun sequence
NW_018923831.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01002591.1, whole genome shotgun sequence
NW_018923760.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01002520.1, whole genome shotgun sequence
NW_018923741.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01002501.1, whole genome shotgun sequence
NW_018923727.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01002487.1, whole genome shotgun sequence
NW_018923699.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01002459.1, whole genome shotgun sequence
NW_018923689.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01002449.1, whole genome shotgun sequence
NW_018923605.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01002365.1, whole genome shotgun sequence
NW_018923556.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01002316.1, whole genome shotgun sequence
NW_018923532.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01002292.1, whole genome shotgun sequence
NW_018923510.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01002270.1, whole genome shotgun sequence
NW_018923495.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01002255.1, whole genome shotgun sequence
NW_018923493.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01002253.1, whole genome shotgun sequence
NW_018923471.1 Prunus avium cultivar Satonishiki unplaced genomic scaffold, PAV_r1.0 BDGV01002231.1, whole genome shotgun sequence
